Date,Adj Close
2005-01-24,1163.75
2005-01-21,1167.87
2005-01-20,1175.41
2005-01-19,1184.63
2005-01-18,1195.98
2005-01-14,1184.52
2005-01-13,1177.45
2005-01-12,1187.70
2005-01-11,1182.99
2005-01-10,1190.25
2005-01-07,1186.19
2005-01-06,1187.89
2005-01-05,1183.74
2005-01-04,1188.05
2005-01-03,1202.08
2004-12-31,1211.92
2004-12-30,1213.55
2004-12-29,1213.45
2004-12-28,1213.54
2004-12-27,1204.92
2004-12-23,1210.13
2004-12-22,1209.57
2004-12-21,1205.45
2004-12-20,1194.65
2004-12-17,1194.20
2004-12-16,1203.21
2004-12-15,1205.72
2004-12-14,1203.38
2004-12-13,1198.68
2004-12-10,1188.00
2004-12-09,1189.24
2004-12-08,1182.81
2004-12-07,1177.07
2004-12-06,1190.25
2004-12-03,1191.17
2004-12-02,1190.33
2004-12-01,1191.37
2004-11-30,1173.82
2004-11-29,1178.57
2004-11-26,1182.65
2004-11-24,1181.76
2004-11-23,1176.94
2004-11-22,1177.24
2004-11-19,1170.34
2004-11-18,1183.55
2004-11-17,1181.94
2004-11-16,1175.43
2004-11-15,1183.81
2004-11-12,1184.17
2004-11-11,1173.48
2004-11-10,1162.91
2004-11-09,1164.08
2004-11-08,1164.89
2004-11-05,1166.17
2004-11-04,1161.67
2004-11-03,1143.20
2004-11-02,1130.56
2004-11-01,1130.51
2004-10-29,1130.20
2004-10-28,1127.44
2004-10-27,1125.40
2004-10-26,1111.09
2004-10-25,1094.80
2004-10-22,1095.74
2004-10-21,1106.49
2004-10-20,1103.66
2004-10-19,1103.23
2004-10-18,1114.02
2004-10-15,1108.20
2004-10-14,1103.29
2004-10-13,1113.65
2004-10-12,1121.84
2004-10-11,1124.39
2004-10-08,1122.14
2004-10-07,1130.65
2004-10-06,1142.05
2004-10-05,1134.48
2004-10-04,1135.17
2004-10-01,1131.50
2004-09-30,1114.58
2004-09-29,1114.80
2004-09-28,1110.06
2004-09-27,1103.52
2004-09-24,1110.11
2004-09-23,1108.36
2004-09-22,1113.56
2004-09-21,1129.30
2004-09-20,1122.20
2004-09-17,1128.55
2004-09-16,1123.50
2004-09-15,1120.37
2004-09-14,1128.33
2004-09-13,1125.82
2004-09-10,1123.92
2004-09-09,1118.38
2004-09-08,1116.27
2004-09-07,1121.30
2004-09-03,1113.63
2004-09-02,1118.31
2004-09-01,1105.91
2004-08-31,1104.24
2004-08-30,1099.15
2004-08-27,1107.77
2004-08-26,1105.09
2004-08-25,1104.96
2004-08-24,1096.19
2004-08-23,1095.68
2004-08-20,1098.35
2004-08-19,1091.23
2004-08-18,1095.17
2004-08-17,1081.71
2004-08-16,1079.34
2004-08-13,1064.80
2004-08-12,1063.23
2004-08-11,1075.79
2004-08-10,1079.04
2004-08-09,1065.22
2004-08-06,1063.97
2004-08-05,1080.70
2004-08-04,1098.63
2004-08-03,1099.69
2004-08-02,1106.62
2004-07-30,1101.72
2004-07-29,1100.43
2004-07-28,1095.42
2004-07-27,1094.83
2004-07-26,1084.07
2004-07-23,1086.20
2004-07-22,1096.84
2004-07-21,1093.88
2004-07-20,1108.67
2004-07-19,1100.90
2004-07-16,1101.39
2004-07-15,1106.69
2004-07-14,1111.47
2004-07-13,1115.14
2004-07-12,1114.35
2004-07-09,1112.81
2004-07-08,1109.11
2004-07-07,1118.33
2004-07-06,1116.21
2004-07-02,1125.38
2004-07-01,1128.94
2004-06-30,1140.84
2004-06-29,1136.20
2004-06-28,1133.35
2004-06-25,1134.43
2004-06-24,1140.65
2004-06-23,1144.06
2004-06-22,1134.41
2004-06-21,1130.30
2004-06-18,1135.02
2004-06-17,1132.05
2004-06-16,1133.56
2004-06-15,1132.01
2004-06-14,1125.29
2004-06-10,1136.47
2004-06-09,1131.33
2004-06-08,1142.18
2004-06-07,1140.42
2004-06-04,1122.50
2004-06-03,1116.64
2004-06-02,1124.99
2004-06-01,1121.20
2004-05-28,1120.68
2004-05-27,1121.28
2004-05-26,1114.94
2004-05-25,1113.05
2004-05-24,1095.41
2004-05-21,1093.56
2004-05-20,1089.19
2004-05-19,1088.68
2004-05-18,1091.49
2004-05-17,1084.10
2004-05-14,1095.70
2004-05-13,1096.44
2004-05-12,1097.28
2004-05-11,1095.45
2004-05-10,1087.12
2004-05-07,1098.70
2004-05-06,1113.99
2004-05-05,1121.53
2004-05-04,1119.55
2004-05-03,1117.49
2004-04-30,1107.30
2004-04-29,1113.89
2004-04-28,1122.41
2004-04-27,1138.11
2004-04-26,1135.53
2004-04-23,1140.60
2004-04-22,1139.93
2004-04-21,1124.09
2004-04-20,1118.15
2004-04-19,1135.82
2004-04-16,1134.61
2004-04-15,1128.84
2004-04-14,1128.17
2004-04-13,1129.44
2004-04-12,1145.20
2004-04-08,1139.32
2004-04-07,1140.53
2004-04-06,1148.16
2004-04-05,1150.57
2004-04-02,1141.81
2004-04-01,1132.17
2004-03-31,1126.21
2004-03-30,1127.00
2004-03-29,1122.47
2004-03-26,1108.06
2004-03-25,1109.19
2004-03-24,1091.33
2004-03-23,1093.95
2004-03-22,1095.40
2004-03-19,1109.78
2004-03-18,1122.32
2004-03-17,1123.75
2004-03-16,1110.70
2004-03-15,1104.49
2004-03-12,1120.57
2004-03-11,1106.78
2004-03-10,1123.89
2004-03-09,1140.58
2004-03-08,1147.20
2004-03-05,1156.86
2004-03-04,1154.87
2004-03-03,1151.03
2004-03-02,1149.10
2004-03-01,1155.97
2004-02-27,1144.94
2004-02-26,1144.91
2004-02-25,1143.67
2004-02-24,1139.09
2004-02-23,1140.99
2004-02-20,1144.11
2004-02-19,1147.06
2004-02-18,1151.82
2004-02-17,1156.99
2004-02-13,1145.81
2004-02-12,1152.11
2004-02-11,1157.76
2004-02-10,1145.54
2004-02-09,1139.81
2004-02-06,1142.76
2004-02-05,1128.59
2004-02-04,1126.52
2004-02-03,1136.03
2004-02-02,1135.26
2004-01-30,1131.13
2004-01-29,1134.11
2004-01-28,1128.48
2004-01-27,1144.05
2004-01-26,1155.37
2004-01-23,1141.55
2004-01-22,1143.94
2004-01-21,1147.62
2004-01-20,1138.77
2004-01-16,1139.83
2004-01-15,1132.05
2004-01-14,1130.52
2004-01-13,1121.22
2004-01-12,1127.23
2004-01-09,1121.86
2004-01-08,1131.92
2004-01-07,1126.33
2004-01-06,1123.67
2004-01-05,1122.22
2004-01-02,1108.48
2003-12-31,1111.92
2003-12-30,1109.64
2003-12-29,1109.48
2003-12-26,1095.89
2003-12-24,1094.04
2003-12-23,1096.02
2003-12-22,1092.94
2003-12-19,1088.66
2003-12-18,1089.18
2003-12-17,1076.48
2003-12-16,1075.13
2003-12-15,1068.04
2003-12-12,1074.14
2003-12-11,1071.21
2003-12-10,1059.05
2003-12-09,1060.18
2003-12-08,1069.30
2003-12-05,1061.50
2003-12-04,1069.72
2003-12-03,1064.73
2003-12-02,1066.62
2003-12-01,1070.12
2003-11-28,1058.20
2003-11-26,1058.45
2003-11-25,1053.89
2003-11-24,1052.08
2003-11-21,1035.28
2003-11-20,1033.65
2003-11-19,1042.44
2003-11-18,1034.15
2003-11-17,1043.63
2003-11-14,1050.35
2003-11-13,1058.41
2003-11-12,1058.53
2003-11-11,1046.57
2003-11-10,1047.11
2003-11-07,1053.21
2003-11-06,1058.05
2003-11-05,1051.81
2003-11-04,1053.25
2003-11-03,1059.02
2003-10-31,1050.71
2003-10-30,1046.94
2003-10-29,1048.11
2003-10-28,1046.79
2003-10-27,1031.13
2003-10-24,1028.91
2003-10-23,1033.77
2003-10-22,1030.36
2003-10-21,1046.03
2003-10-20,1044.68
2003-10-17,1039.32
2003-10-16,1050.07
2003-10-15,1046.76
2003-10-14,1049.48
2003-10-13,1045.35
2003-10-10,1038.06
2003-10-09,1038.73
2003-10-08,1033.78
2003-10-07,1039.25
2003-10-06,1034.35
2003-10-03,1029.85
2003-10-02,1020.24
2003-10-01,1018.22
2003-09-30,995.97
2003-09-29,1006.58
2003-09-26,996.85
2003-09-25,1003.27
2003-09-24,1009.38
2003-09-23,1029.03
2003-09-22,1022.82
2003-09-19,1036.30
2003-09-18,1039.58
2003-09-17,1025.97
2003-09-16,1029.32
2003-09-15,1014.81
2003-09-12,1018.63
2003-09-11,1016.42
2003-09-10,1010.92
2003-09-09,1023.17
2003-09-08,1031.64
2003-09-05,1021.39
2003-09-04,1027.97
2003-09-03,1026.27
2003-09-02,1021.99
2003-08-29,1008.01
2003-08-28,1002.84
2003-08-27,996.79
2003-08-26,996.73
2003-08-25,993.71
2003-08-22,993.06
2003-08-21,1003.27
2003-08-20,1000.30
2003-08-19,1002.35
2003-08-18,999.74
2003-08-15,990.67
2003-08-14,990.51
2003-08-13,984.03
2003-08-12,990.35
2003-08-11,980.59
2003-08-08,977.59
2003-08-07,974.12
2003-08-06,967.08
2003-08-05,965.46
2003-08-04,982.82
2003-08-01,980.15
2003-07-31,990.31
2003-07-30,987.49
2003-07-29,989.28
2003-07-28,996.52
2003-07-25,998.68
2003-07-24,981.60
2003-07-23,988.61
2003-07-22,988.11
2003-07-21,978.80
2003-07-18,993.32
2003-07-17,981.73
2003-07-16,994.09
2003-07-15,1000.42
2003-07-14,1003.86
2003-07-11,998.14
2003-07-10,988.70
2003-07-09,1002.21
2003-07-08,1007.84
2003-07-07,1004.42
2003-07-03,985.70
2003-07-02,993.75
2003-07-01,982.32
2003-06-30,974.50
2003-06-27,976.22
2003-06-26,985.82
2003-06-25,975.32
2003-06-24,983.45
2003-06-23,981.64
2003-06-20,995.69
2003-06-19,994.70
2003-06-18,1010.09
2003-06-17,1011.66
2003-06-16,1010.74
2003-06-13,988.61
2003-06-12,998.51
2003-06-11,997.48
2003-06-10,984.84
2003-06-09,975.93
2003-06-06,987.76
2003-06-05,990.14
2003-06-04,986.24
2003-06-03,971.56
2003-06-02,967.00
2003-05-30,963.59
2003-05-29,949.64
2003-05-28,953.22
2003-05-27,951.48
2003-05-23,933.22
2003-05-22,931.87
2003-05-21,923.42
2003-05-20,919.73
2003-05-19,920.77
2003-05-16,944.30
2003-05-15,946.67
2003-05-14,939.28
2003-05-13,942.30
2003-05-12,945.11
2003-05-09,933.41
2003-05-08,920.27
2003-05-07,929.62
2003-05-06,934.39
2003-05-05,926.55
2003-05-02,930.08
2003-05-01,916.30
2003-04-30,916.92
2003-04-29,917.84
2003-04-28,914.84
2003-04-25,898.81
2003-04-24,911.43
2003-04-23,919.02
2003-04-22,911.37
2003-04-21,892.01
2003-04-17,893.58
2003-04-16,879.91
2003-04-15,890.81
2003-04-14,885.23
2003-04-11,868.30
2003-04-10,871.58
2003-04-09,865.99
2003-04-08,878.29
2003-04-07,879.93
2003-04-04,878.85
2003-04-03,876.45
2003-04-02,880.90
2003-04-01,858.48
2003-03-31,848.18
2003-03-28,863.50
2003-03-27,868.52
2003-03-26,869.95
2003-03-25,874.74
2003-03-24,864.23
2003-03-21,895.79
2003-03-20,875.67
2003-03-19,874.02
2003-03-18,866.45
2003-03-17,862.79
2003-03-14,833.27
2003-03-13,831.90
2003-03-12,804.19
2003-03-11,800.73
2003-03-10,807.48
2003-03-07,828.89
2003-03-06,822.10
2003-03-05,829.85
2003-03-04,821.99
2003-03-03,834.81
2003-02-28,841.15
2003-02-27,837.28
2003-02-26,827.55
2003-02-25,838.57
2003-02-24,832.58
2003-02-21,848.17
2003-02-20,837.10
2003-02-19,845.13
2003-02-18,851.17
2003-02-14,834.89
2003-02-13,817.37
2003-02-12,818.68
2003-02-11,829.20
2003-02-10,835.97
2003-02-07,829.69
2003-02-06,838.15
2003-02-05,843.59
2003-02-04,848.20
2003-02-03,860.32
2003-01-31,855.70
2003-01-30,844.61
2003-01-29,864.36
2003-01-28,858.54
2003-01-27,847.48
2003-01-24,861.40
2003-01-23,887.34
2003-01-22,878.36
2003-01-21,887.62
2003-01-17,901.78
2003-01-16,914.60
2003-01-15,918.22
2003-01-14,931.66
2003-01-13,926.26
2003-01-10,927.57
2003-01-09,927.57
2003-01-08,909.93
2003-01-07,922.93
2003-01-06,929.01
2003-01-03,908.59
2003-01-02,909.03
2002-12-31,879.82
2002-12-30,879.39
2002-12-27,875.40
2002-12-26,889.66
2002-12-24,892.47
2002-12-23,897.38
2002-12-20,895.76
2002-12-19,884.25
2002-12-18,891.12
2002-12-17,902.99
2002-12-16,910.40
2002-12-13,889.48
2002-12-12,901.58
2002-12-11,904.96
2002-12-10,904.45
2002-12-09,892.00
2002-12-06,912.23
2002-12-05,906.55
2002-12-04,917.58
2002-12-03,920.75
2002-12-02,934.53
2002-11-29,936.31
2002-11-27,938.87
2002-11-26,913.31
2002-11-25,932.87
2002-11-22,930.55
2002-11-21,933.76
2002-11-20,914.15
2002-11-19,896.74
2002-11-18,900.36
2002-11-15,909.83
2002-11-14,904.27
2002-11-13,882.53
2002-11-12,882.95
2002-11-11,876.19
2002-11-08,894.74
2002-11-07,902.65
2002-11-06,923.76
2002-11-05,915.39
2002-11-04,908.35
2002-11-01,900.96
2002-10-31,885.76
2002-10-30,890.71
2002-10-29,882.15
2002-10-28,890.23
2002-10-25,897.65
2002-10-24,882.50
2002-10-23,896.14
2002-10-22,890.16
2002-10-21,899.72
2002-10-18,884.39
2002-10-17,879.20
2002-10-16,860.02
2002-10-15,881.27
2002-10-14,841.44
2002-10-11,835.32
2002-10-10,803.92
2002-10-09,776.76
2002-10-08,798.55
2002-10-07,785.28
2002-10-04,800.58
2002-10-03,818.95
2002-10-02,827.91
2002-10-01,847.91
2002-09-30,815.28
2002-09-27,827.37
2002-09-26,854.95
2002-09-25,839.66
2002-09-24,819.29
2002-09-23,833.70
2002-09-20,845.39
2002-09-19,843.32
2002-09-18,869.46
2002-09-17,873.52
2002-09-16,891.10
2002-09-13,889.81
2002-09-12,886.91
2002-09-11,909.45
2002-09-10,909.58
2002-09-09,902.96
2002-09-06,893.92
2002-09-05,879.15
2002-09-04,893.40
2002-09-03,878.02
2002-08-30,916.07
2002-08-29,917.80
2002-08-28,917.87
2002-08-27,934.82
2002-08-26,947.95
2002-08-23,940.86
2002-08-22,962.70
2002-08-21,949.36
2002-08-20,937.43
2002-08-19,950.70
2002-08-16,928.77
2002-08-15,930.25
2002-08-14,919.62
2002-08-13,884.21
2002-08-12,903.80
2002-08-09,908.64
2002-08-08,905.46
2002-08-07,876.77
2002-08-06,859.57
2002-08-05,834.60
2002-08-02,864.24
2002-08-01,884.66
2002-07-31,911.62
2002-07-30,902.78
2002-07-29,898.96
2002-07-26,852.84
2002-07-25,838.68
2002-07-24,843.43
2002-07-23,797.70
2002-07-22,819.85
2002-07-19,847.75
2002-07-18,881.56
2002-07-17,906.04
2002-07-16,900.94
2002-07-15,917.93
2002-07-12,921.39
2002-07-11,927.37
2002-07-10,920.47
2002-07-09,952.83
2002-07-08,976.98
2002-07-05,989.03
2002-07-03,953.99
2002-07-02,948.09
2002-07-01,968.65
2002-06-28,989.82
2002-06-27,990.64
2002-06-26,973.53
2002-06-25,976.14
2002-06-24,992.72
2002-06-21,989.14
2002-06-20,1006.29
2002-06-19,1019.99
2002-06-18,1037.14
2002-06-17,1036.17
2002-06-14,1007.27
2002-06-13,1009.56
2002-06-12,1020.26
2002-06-11,1013.60
2002-06-10,1030.74
2002-06-07,1027.53
2002-06-06,1029.15
2002-06-05,1049.90
2002-06-04,1040.69
2002-06-03,1040.68
2002-05-31,1067.14
2002-05-30,1064.66
2002-05-29,1067.66
2002-05-28,1074.55
2002-05-24,1083.82
2002-05-23,1097.08
2002-05-22,1086.02
2002-05-21,1079.88
2002-05-20,1091.88
2002-05-17,1106.59
2002-05-16,1098.23
2002-05-15,1091.07
2002-05-14,1097.28
2002-05-13,1074.56
2002-05-10,1054.99
2002-05-09,1073.01
2002-05-08,1088.85
2002-05-07,1049.49
2002-05-06,1052.67
2002-05-03,1073.43
2002-05-02,1084.56
2002-05-01,1086.46
2002-04-30,1076.92
2002-04-29,1065.45
2002-04-26,1076.32
2002-04-25,1091.48
2002-04-24,1093.14
2002-04-23,1100.96
2002-04-22,1107.83
2002-04-19,1125.17
2002-04-18,1124.47
2002-04-17,1126.07
2002-04-16,1128.37
2002-04-15,1102.55
2002-04-12,1111.01
2002-04-11,1103.69
2002-04-10,1130.47
2002-04-09,1117.80
2002-04-08,1125.29
2002-04-05,1122.73
2002-04-04,1126.34
2002-04-03,1125.40
2002-04-02,1136.76
2002-04-01,1146.54
2002-03-28,1147.39
2002-03-27,1144.58
2002-03-26,1138.49
2002-03-25,1131.87
2002-03-22,1148.70
2002-03-21,1153.59
2002-03-20,1151.85
2002-03-19,1170.29
2002-03-18,1165.55
2002-03-15,1166.16
2002-03-14,1153.04
2002-03-13,1154.09
2002-03-12,1165.58
2002-03-11,1168.26
2002-03-08,1164.31
2002-03-07,1157.54
2002-03-06,1162.77
2002-03-05,1146.14
2002-03-04,1153.84
2002-03-01,1131.78
2002-02-28,1106.73
2002-02-27,1109.89
2002-02-26,1109.38
2002-02-25,1109.43
2002-02-22,1089.84
2002-02-21,1080.95
2002-02-20,1097.98
2002-02-19,1083.34
2002-02-15,1104.18
2002-02-14,1116.48
2002-02-13,1118.51
2002-02-12,1107.50
2002-02-11,1111.94
2002-02-08,1096.22
2002-02-07,1080.17
2002-02-06,1083.51
2002-02-05,1090.02
2002-02-04,1094.44
2002-02-01,1122.20
2002-01-31,1130.20
2002-01-30,1113.57
2002-01-29,1100.64
2002-01-28,1133.06
2002-01-25,1133.28
2002-01-24,1132.15
2002-01-23,1128.18
2002-01-22,1119.31
2002-01-18,1127.58
2002-01-17,1138.88
2002-01-16,1127.57
2002-01-15,1146.19
2002-01-14,1138.41
2002-01-11,1145.60
2002-01-10,1156.55
2002-01-09,1155.14
2002-01-08,1160.71
2002-01-07,1164.89
2002-01-04,1172.51
2002-01-03,1165.27
2002-01-02,1154.67
2001-12-31,1148.08
2001-12-28,1161.02
2001-12-27,1157.13
2001-12-26,1149.37
2001-12-24,1144.65
2001-12-21,1144.89
2001-12-20,1139.93
2001-12-19,1149.56
2001-12-18,1142.92
2001-12-17,1134.36
2001-12-14,1123.09
2001-12-13,1119.38
2001-12-12,1137.07
2001-12-11,1136.76
2001-12-10,1139.93
2001-12-07,1158.31
2001-12-06,1167.10
2001-12-05,1170.35
2001-12-04,1144.80
2001-12-03,1129.90
2001-11-30,1139.45
2001-11-29,1140.20
2001-11-28,1128.52
2001-11-27,1149.50
2001-11-26,1157.42
2001-11-23,1150.34
2001-11-21,1137.03
2001-11-20,1142.66
2001-11-19,1151.06
2001-11-16,1138.65
2001-11-15,1142.24
2001-11-14,1141.21
2001-11-13,1139.09
2001-11-12,1118.33
2001-11-09,1120.31
2001-11-08,1118.54
2001-11-07,1115.80
2001-11-06,1118.86
2001-11-05,1102.84
2001-11-02,1087.20
2001-11-01,1084.10
2001-10-31,1059.78
2001-10-30,1059.79
2001-10-29,1078.30
2001-10-26,1104.61
2001-10-25,1100.09
2001-10-24,1085.20
2001-10-23,1084.78
2001-10-22,1089.90
2001-10-19,1073.48
2001-10-18,1068.61
2001-10-17,1077.09
2001-10-16,1097.54
2001-10-15,1089.98
2001-10-12,1091.65
2001-10-11,1097.43
2001-10-10,1080.99
2001-10-09,1056.75
2001-10-08,1062.44
2001-10-05,1071.38
2001-10-04,1069.63
2001-10-03,1072.28
2001-10-02,1051.33
2001-10-01,1038.55
2001-09-28,1040.94
2001-09-27,1018.61
2001-09-26,1007.04
2001-09-25,1012.27
2001-09-24,1003.45
2001-09-21,965.80
2001-09-20,984.54
2001-09-19,1016.10
2001-09-18,1032.74
2001-09-17,1038.77
2001-09-10,1092.54
2001-09-07,1085.78
2001-09-06,1106.40
2001-09-05,1131.74
2001-09-04,1132.94
2001-08-31,1133.58
2001-08-30,1129.03
2001-08-29,1148.56
2001-08-28,1161.51
2001-08-27,1179.21
2001-08-24,1184.93
2001-08-23,1162.09
2001-08-22,1165.31
2001-08-21,1157.26
2001-08-20,1171.41
2001-08-17,1161.97
2001-08-16,1181.66
2001-08-15,1178.02
2001-08-14,1186.73
2001-08-13,1191.29
2001-08-10,1190.16
2001-08-09,1183.43
2001-08-08,1183.53
2001-08-07,1204.40
2001-08-06,1200.48
2001-08-03,1214.35
2001-08-02,1220.75
2001-08-01,1215.93
2001-07-31,1211.23
2001-07-30,1204.52
2001-07-27,1205.82
2001-07-26,1202.93
2001-07-25,1190.49
2001-07-24,1171.65
2001-07-23,1191.03
2001-07-20,1210.85
2001-07-19,1215.02
2001-07-18,1207.71
2001-07-17,1214.44
2001-07-16,1202.45
2001-07-13,1215.68
2001-07-12,1208.14
2001-07-11,1180.18
2001-07-10,1181.52
2001-07-09,1198.78
2001-07-06,1190.59
2001-07-05,1219.24
2001-07-03,1234.45
2001-07-02,1236.72
2001-06-29,1224.38
2001-06-28,1226.20
2001-06-27,1211.07
2001-06-26,1216.76
2001-06-25,1218.60
2001-06-22,1225.35
2001-06-21,1237.04
2001-06-20,1223.14
2001-06-19,1212.58
2001-06-18,1208.43
2001-06-15,1214.36
2001-06-14,1219.87
2001-06-13,1241.60
2001-06-12,1255.85
2001-06-11,1254.39
2001-06-08,1264.96
2001-06-07,1276.96
2001-06-06,1270.03
2001-06-05,1283.57
2001-06-04,1267.11
2001-06-01,1260.67
2001-05-31,1255.82
2001-05-30,1248.08
2001-05-29,1267.93
2001-05-25,1277.89
2001-05-24,1293.17
2001-05-23,1289.05
2001-05-22,1309.38
2001-05-21,1312.83
2001-05-18,1291.96
2001-05-17,1288.49
2001-05-16,1284.99
2001-05-15,1249.44
2001-05-14,1248.92
2001-05-11,1245.67
2001-05-10,1255.18
2001-05-09,1255.54
2001-05-08,1261.20
2001-05-07,1263.51
2001-05-04,1266.61
2001-05-03,1248.58
2001-05-02,1267.43
2001-05-01,1266.44
2001-04-30,1249.46
2001-04-27,1253.05
2001-04-26,1234.52
2001-04-25,1228.75
2001-04-24,1209.47
2001-04-23,1224.36
2001-04-20,1242.98
2001-04-19,1253.69
2001-04-18,1238.16
2001-04-17,1191.81
2001-04-16,1179.68
2001-04-12,1183.50
2001-04-11,1165.89
2001-04-10,1168.38
2001-04-09,1137.59
2001-04-06,1128.43
2001-04-05,1151.44
2001-04-04,1103.25
2001-04-03,1106.46
2001-04-02,1145.87
2001-03-30,1160.33
2001-03-29,1147.95
2001-03-28,1153.29
2001-03-27,1182.17
2001-03-26,1152.69
2001-03-23,1139.83
2001-03-22,1117.58
2001-03-21,1122.14
2001-03-20,1142.62
2001-03-19,1170.81
2001-03-16,1150.53
2001-03-15,1173.56
2001-03-14,1166.71
2001-03-13,1197.66
2001-03-12,1180.16
2001-03-09,1233.42
2001-03-08,1264.74
2001-03-07,1261.89
2001-03-06,1253.80
2001-03-05,1241.41
2001-03-02,1234.18
2001-03-01,1241.23
2001-02-28,1239.94
2001-02-27,1257.94
2001-02-26,1267.65
2001-02-23,1245.86
2001-02-22,1252.82
2001-02-21,1255.27
2001-02-20,1278.94
2001-02-16,1301.53
2001-02-15,1326.61
2001-02-14,1315.92
2001-02-13,1318.80
2001-02-12,1330.31
2001-02-09,1314.76
2001-02-08,1332.53
2001-02-07,1340.89
2001-02-06,1352.26
2001-02-05,1354.31
2001-02-02,1349.47
2001-02-01,1373.47
2001-01-31,1366.01
2001-01-30,1373.73
2001-01-29,1364.17
2001-01-26,1354.95
2001-01-25,1357.51
2001-01-24,1364.30
2001-01-23,1360.40
2001-01-22,1342.90
2001-01-19,1342.54
2001-01-18,1347.97
2001-01-17,1329.47
2001-01-16,1326.65
2001-01-12,1318.55
2001-01-11,1326.82
2001-01-10,1313.27
2001-01-09,1300.80
2001-01-08,1295.86
2001-01-05,1298.35
2001-01-04,1333.34
2001-01-03,1347.56
2001-01-02,1283.27
2000-12-29,1320.28
2000-12-28,1334.22
2000-12-27,1328.92
2000-12-26,1315.19
2000-12-22,1305.95
2000-12-21,1274.86
2000-12-20,1264.74
2000-12-19,1305.60
2000-12-18,1322.74
2000-12-15,1312.15
2000-12-14,1340.93
2000-12-13,1359.99
2000-12-12,1371.18
2000-12-11,1380.20
2000-12-08,1369.89
2000-12-07,1343.55
2000-12-06,1351.46
2000-12-05,1376.54
2000-12-04,1324.97
2000-12-01,1315.23
2000-11-30,1314.95
2000-11-29,1341.93
2000-11-28,1336.09
2000-11-27,1348.97
2000-11-24,1341.77
2000-11-22,1322.36
2000-11-21,1347.35
2000-11-20,1342.62
2000-11-17,1367.72
2000-11-16,1372.32
2000-11-15,1389.81
2000-11-14,1382.95
2000-11-13,1351.26
2000-11-10,1365.98
2000-11-09,1400.14
2000-11-08,1409.28
2000-11-07,1431.87
2000-11-06,1432.19
2000-11-03,1426.69
2000-11-02,1428.32
2000-11-01,1421.22
2000-10-31,1429.40
2000-10-30,1398.66
2000-10-27,1379.58
2000-10-26,1364.44
2000-10-25,1364.90
2000-10-24,1398.13
2000-10-23,1395.78
2000-10-20,1396.93
2000-10-19,1388.76
2000-10-18,1342.13
2000-10-17,1349.97
2000-10-16,1374.62
2000-10-13,1374.17
2000-10-12,1329.78
2000-10-11,1364.59
2000-10-10,1387.02
2000-10-09,1402.03
2000-10-06,1408.99
2000-10-05,1436.28
2000-10-04,1434.32
2000-10-03,1426.46
2000-10-02,1436.23
2000-09-29,1436.51
2000-09-28,1458.29
2000-09-27,1426.57
2000-09-26,1427.21
2000-09-25,1439.03
2000-09-22,1448.72
2000-09-21,1449.05
2000-09-20,1451.34
2000-09-19,1459.90
2000-09-18,1444.51
2000-09-15,1465.81
2000-09-14,1480.87
2000-09-13,1484.91
2000-09-12,1481.99
2000-09-11,1489.26
2000-09-08,1494.50
2000-09-07,1502.51
2000-09-06,1492.25
2000-09-05,1507.08
2000-09-01,1520.77
2000-08-31,1517.68
2000-08-30,1502.59
2000-08-29,1509.84
2000-08-28,1514.09
2000-08-25,1506.45
2000-08-24,1508.31
2000-08-23,1505.97
2000-08-22,1498.13
2000-08-21,1499.48
2000-08-18,1491.72
2000-08-17,1496.07
2000-08-16,1479.85
2000-08-15,1484.43
2000-08-14,1491.56
2000-08-11,1471.84
2000-08-10,1460.25
2000-08-09,1472.87
2000-08-08,1482.80
2000-08-07,1479.32
2000-08-04,1462.93
2000-08-03,1452.56
2000-08-02,1438.70
2000-08-01,1438.10
2000-07-31,1430.83
2000-07-28,1419.89
2000-07-27,1449.62
2000-07-26,1452.42
2000-07-25,1474.47
2000-07-24,1464.29
2000-07-21,1480.19
2000-07-20,1495.57
2000-07-19,1481.96
2000-07-18,1493.74
2000-07-17,1510.49
2000-07-14,1509.98
2000-07-13,1495.84
2000-07-12,1492.92
2000-07-11,1480.88
2000-07-10,1475.62
2000-07-07,1478.90
2000-07-06,1456.67
2000-07-05,1446.23
2000-07-03,1469.54
2000-06-30,1454.60
2000-06-29,1442.39
2000-06-28,1454.82
2000-06-27,1450.55
2000-06-26,1455.31
2000-06-23,1441.48
2000-06-22,1452.18
2000-06-21,1479.13
2000-06-20,1475.95
2000-06-19,1486.00
2000-06-16,1464.46
2000-06-15,1478.73
2000-06-14,1470.54
2000-06-13,1469.44
2000-06-12,1446.00
2000-06-09,1456.95
2000-06-08,1461.67
2000-06-07,1471.36
2000-06-06,1457.84
2000-06-05,1467.63
2000-06-02,1477.26
2000-06-01,1448.81
2000-05-31,1420.60
2000-05-30,1422.45
2000-05-26,1378.02
2000-05-25,1381.52
2000-05-24,1399.05
2000-05-23,1373.86
2000-05-22,1400.72
2000-05-19,1406.95
2000-05-18,1437.21
2000-05-17,1447.80
2000-05-16,1466.04
2000-05-15,1452.36
2000-05-12,1420.96
2000-05-11,1407.81
2000-05-10,1383.05
2000-05-09,1412.14
2000-05-08,1424.17
2000-05-05,1432.63
2000-05-04,1409.57
2000-05-03,1415.10
2000-05-02,1446.29
2000-05-01,1468.25
2000-04-28,1452.43
